category,term
variable,FTSTAT
variable,FTSTRESC
variable,FTSTRESN
variable,FTSTRESU
variable,FTTEST
variable,FTTESTCD
variable,FTTPT
variable,FTTPTNUM
variable,FTTPTREF
variable,FTXFN
variable,GFANMETH
variable,GFBLFL
variable,GFCAT
variable,GFCHROM
variable,GFCLSIG
variable,GFCOPYID
variable,GFCSREAS
variable,GFDRVFL
variable,GFDTC
variable,GFDY
variable,GFELTM
variable,GFENDTC
variable,GFENDY
variable,GFFAST
variable,GFGENLOC
variable,GFGENREF
variable,GFGENSR
variable,GFGRPID
variable,GFINHERT
variable,GFLLOQ
variable,GFLNKGRP
variable,GFLNKID
variable,GFLOBXFL
variable,GFMETHOD
variable,GFNAM
variable,GFORREF
variable,GFORRES
variable,GFORRESU
variable,GFPVRID
variable,GFREASND
variable,GFREFID
variable,GFREPNUM
variable,GFRESCAT
variable,GFRFTDTC
variable,GFRUNID
variable,GFSCAT
variable,GFSEQ
variable,GFSEQID
variable,GFSPEC
variable,GFSPEC1
variable,GFSPEC2
variable,GFSPID
variable,GFSTAT
variable,GFSTREFC
variable,GFSTREFN
variable,GFSTRESC
variable,GFSTRESN
variable,GFSTRESU
variable,GFSTRTPT
variable,GFSTTPT
variable,GFSYM
variable,GFSYMTYP
variable,GFTEST
variable,GFTESTCD
variable,GFTPT
variable,GFTPTNUM
variable,GFTPTREF
variable,GFTSTDTL
variable,GFXFN
variable,GIBLFL
variable,GICAT
variable,GIDIR
variable,GIDRVFL
variable,GIDTC
variable,GIDY
variable,GIELTM
variable,GIEVAL
variable,GIEVALID
variable,GIGRPID
variable,GIIMCND
variable,GILAT
variable,GILNKGRP
variable,GILNKID
variable,GILOBXFL
variable,GILOC
variable,GIMETHOD
variable,GIOIQ
variable,GIORRES
variable,GIORRESU
variable,GIREASND
variable,GIREFID
variable,GIRESCAT
variable,GIRFTDTC
variable,GISCAT
variable,GISEQ
variable,GISPCUFL
variable,GISPEC
variable,GISPID
variable,GISTAT
variable,GISTRESC
variable,GISTRESN
variable,GISTRESU
variable,GITEST
variable,GITESTCD
variable,GITPT
variable,GITPTNUM
variable,GITPTREF
variable,GITSTDTL
variable,HMBLFL
variable,HMCAT
variable,HMDIR
variable,HMDRVFL
variable,HMDTC
variable,HMDY
variable,HMELTM
variable,HMEVAL
variable,HMEVALID
variable,HMGRPID
variable,HMLAT
variable,HMLNKGRP
variable,HMLNKID
variable,HMLOBXFL
variable,HMLOC
variable,HMMETHOD
variable,HMORRES
variable,HMORRESU
variable,HMREASND
variable,HMREFID
variable,HMRESCAT
variable,HMRFTDTC
variable,HMSCAT
variable,HMSEQ
variable,HMSPCUFL
variable,HMSPEC
variable,HMSPID
variable,HMSTAT
variable,HMSTRESC
variable,HMSTRESN
variable,HMSTRESU
variable,HMTEST
variable,HMTESTCD
variable,HMTPT
variable,HMTPTNUM
variable,HMTPTREF
variable,HMTSTDTL
variable,HOCAT
variable,HODECOD
variable,HODTC
variable,HODUR
variable,HODY
variable,HOENDTC
variable,HOENDY
variable,HOENRTPT
variable,HOENTPT
variable,HOEVINTX
variable,HOGRPID
variable,HOOCCUR
variable,HOPRESP
variable,HOPROTYP
variable,HOREAS
variable,HOREASAE
variable,HOREASCH
variable,HOREASND
variable,HOREASOT
