Classification,Name,Pages,PageCount,Category,RawTexts
Variable,DSTERM=INFORMED CONSENT OBTAINED,14,1,standard_variable,DSTERM=INFORMED CONSENT OBTAINED
Variable,DTHDTC,49,1,standard_variable,DTHDTC when DTHFL=Y
Variable,DTHFL,49,1,standard_variable,DTHFL=Y when Fatal | DTHDTC when DTHFL=Y
Variable,DTHFL=Y,49,1,standard_variable,DTHFL=Y
Variable,ECACN,46,1,standard_variable,QNAM=ECACN in SUPPEC
Variable,ECADJ,46,1,standard_variable,ECADJ
Variable,ECDOSE,46,1,standard_variable,ECDOSE
Variable,ECDOSFRM,46,1,standard_variable,ECDOSFRM
Variable,ECDOSU,46,1,standard_variable,ECDOSU
Variable,ECENDTC,46,1,standard_variable,ECENDTC
Variable,ECROUTE,46,1,standard_variable,ECROUTE
Variable,ECSTDTC,46,1,standard_variable,ECSTDTC
Variable,ECTRT,46,1,standard_variable,ECTRT
Variable,ETHNIC,13,1,standard_variable,ETHNIC
Variable,EVLDTL,61,1,standard_variable,QNAM=EVLDTL in SUPPEC | QNAM=EVLDTL in SUPPEC when Other
Variable,EXC,17,1,standard_variable,DSTERM when VOLUNTARY WITHDRAWAL or OTHER or INC/EXC CRITERIA
Variable,FACAT,"18,21,46",3,standard_variable,FACAT=DISEASE CHARACTERISTICS CROHN'S DISEASE | FACAT=DISEASE CHARACTERISTICS ULCERATIVE COLITIS | FACAT= OVERDOSE
Variable,FACAT=DISEASE CHARACTERISTICS ULCERATIVE COLITIS,21,1,standard_variable,FACAT=DISEASE CHARACTERISTICS ULCERATIVE COLITIS
Variable,FACAT=OVERDOSE,46,1,standard_variable,FACAT=OVERDOSE
Variable,FADTC,46,1,standard_variable,FADTC
Variable,FAEVLINT,"18,19,21,22",4,standard_variable,FAEVLINT=-P12M | FAEVLINT=-P1W
Variable,FAOBJ,"18,19,20,21,22,23,46",7,standard_variable,"FAOBJ=ACUTE EXACERBATIONS | FAOBJ=HOSPITALIZATIONS | FAOBJ=COLON | FAOBJ=OTHER | FAOBJ=ILEUM | FAOBJ= SURGERY FOR DISEASE | FAOBJ= FISTULIZING DISEASE | FAOBJ=ARTHRITIS/ARTHRALGIA | FAOBJ=IRITIS/UVEITIS | FAOBJ=ERYTHEMA NODOSUM | FAOBJ=PYODERMA GANGRENOSUM | FAOBJ=APHTHOUS STOMATITIS | FAOBJ=ANAL FISSURE | FAOBJ=ANAL FISTULA | FAOBJ=ABSCESS | FAOBJ=FEVER OVER 37.8 DEGREES CELSIUS | FAOBJ=CROHN'S DISEASE | FAOBJ=PROCTOSIGMOIDITIS | FAOBJ=LEFT SIDED COLITIS | FAOBJ=EXTENSIVE COLITIS | FAOBJ=PANCOLITIS | FAOBJ = SURGERY FOR DISEASE | FAOBJ=PROCTITIS | FAOBJ=ULCERATIVE COLITIS | FAOBJ"
Variable,FAOBJ=ABSCESS,"19,22",2,standard_variable,FAOBJ=ABSCESS
Variable,FAOBJ=ACUTE EXACERBATIONS,"18,21",2,standard_variable,FAOBJ=ACUTE EXACERBATIONS
Variable,FAOBJ=ANAL FISSURE,19,1,standard_variable,FAOBJ=ANAL FISSURE
Variable,FAOBJ=ANAL FISTULA,19,1,standard_variable,FAOBJ=ANAL FISTULA
Variable,FAOBJ=APHTHOUS STOMATITIS,"19,22",2,standard_variable,FAOBJ=APHTHOUS STOMATITIS
Variable,FAOBJ=ARTHRITIS/ARTHRALGIA,"18,22",2,standard_variable,FAOBJ=ARTHRITIS/ARTHRALGIA
Variable,FAOBJ=COLON,18,1,standard_variable,FAOBJ=COLON
Variable,FAOBJ=ERYTHEMA NODOSUM,"19,22",2,standard_variable,FAOBJ=ERYTHEMA NODOSUM
Variable,FAOBJ=EXTENSIVE COLITIS,21,1,standard_variable,FAOBJ=EXTENSIVE COLITIS
Variable,FAOBJ=FISTULIZING DISEASE,18,1,standard_variable,FAOBJ=FISTULIZING DISEASE
Variable,"FAOBJ=HOSPITALIZATIONS","18,21",2,standard_variable,"FAOBJ=HOSPITALIZATIONS"
Variable,FAOBJ=ILEUM,18,1,standard_variable,FAOBJ=ILEUM
Variable,FAOBJ=IRITIS/UVEITIS,"19,22",2,standard_variable,FAOBJ=IRITIS/UVEITIS
Variable,FAOBJ=LEFT SIDED COLITIS,21,1,standard_variable,FAOBJ=LEFT SIDED COLITIS
Variable,FAOBJ=OTHER,"18,19,21,22",4,standard_variable,FAOBJ=OTHER
Variable,FAOBJ=PANCOLITIS,21,1,standard_variable,FAOBJ=PANCOLITIS
Variable,FAOBJ=PROCTITIS,21,1,standard_variable,FAOBJ=PROCTITIS
Variable,FAOBJ=PROCTOSIGMOIDITIS,21,1,standard_variable,FAOBJ=PROCTOSIGMOIDITIS
Variable,FAOBJ=PYODERMA GANGRENOSUM,"19,22",2,standard_variable,FAOBJ=PYODERMA GANGRENOSUM
Variable,FAOBJ=SURGERY FOR DISEASE,"18,21",2,standard_variable,FAOBJ=SURGERY FOR DISEASE
Variable,FAOBJ=ULCERATIVE COLITIS,"22,23",2,standard_variable,FAOBJ=ULCERATIVE COLITIS
Variable,FAORRES,"18,19,20,21,22,23,46,47",8,standard_variable,FAORRES when FATESTCD=OCCUR | FAORRES when FATESTCD=NUMOCCUR | FAORRES when FATESTCD=OCCENDTC | FAORRES when FATESTCD=OCENRTPT | FAORRES when FATESTCD=HOSPREAS | FAORRES when FATESTCD=DESCRIB | FAORRES when FATESTCD=CLNRSPC | FAORRES when FATESTCD=SLRSPC | FAORRES when FATESTCD=ELGEXPL | FAORRES when FATESTCD=ODNAT | FAORRES when FATESTCD=ODDET | FAORRES when FATESTCD=ODAE | FAORRES when FATESTCD=ODSTXSPM
Variable,FASCAT,"18,19,21,22,23",5,standard_variable,"FASCAT=LOCATION OF DISEASE | FASCAT= EXTRAINTESTINAL MANIFESTATIONS | FASCAT=INCLUSION CRITERIA | FASCAT=EXTRAINTESTINAL MANIFESTATIONS | FASCAT= INCLUSION CRITERIA"
Variable,FASCAT=EXTRAINTESTINAL MANIFESTATIONS,"18,22",2,standard_variable,FASCAT=EXTRAINTESTINAL MANIFESTATIONS
Variable,FASCAT=INCLUSION CRITERIA,"19,22,23",3,standard_variable,FASCAT=INCLUSION CRITERIA
Variable,FASCAT=LOCATION OF DISEASE,"18,21",2,standard_variable,FASCAT=LOCATION OF DISEASE
Variable,FATESTCD,"18,19,20,21,22,23,46,47",8,standard_variable,FAORRES when FATESTCD=OCCUR | FAORRES when FATESTCD=NUMOCCUR | FAORRES when FATESTCD=OCCENDTC | FAORRES when FATESTCD=OCENRTPT | FAORRES when FATESTCD=HOSPREAS | FAORRES when FATESTCD=DESCRIB | FAORRES when FATESTCD=CLNRSPC | FAORRES when FATESTCD=SLRSPC | FAORRES when FATESTCD=ELGEXPL | FAORRES when FATESTCD=ODNAT | FAORRES when FATESTCD=ODDET | FAORRES when FATESTCD=ODAE | FAORRES when FATESTCD=ODSTXSPM
Variable,FATESTCD=CLNRSPC,"19,22,23",3,standard_variable,FATESTCD=CLNRSPC
Variable,FATESTCD=DESCRIB,"18,22",2,standard_variable,FATESTCD=DESCRIB
Variable,FATESTCD=ELGEXPL,"20,23",2,standard_variable,FATESTCD=ELGEXPL
Variable,FATESTCD=HOSPREAS,"18,21",2,standard_variable,FATESTCD=HOSPREAS
Variable,FATESTCD=NUMOCCUR,"18,21,22",3,standard_variable,FATESTCD=NUMOCCUR
Variable,FATESTCD=OCCENDTC,"18,21",2,standard_variable,FATESTCD=OCCENDTC
Variable,FATESTCD=OCCUR,"18,19,21,22",4,standard_variable,FATESTCD=OCCUR
Variable,FATESTCD=OCENRTPT,"18,21",2,standard_variable,FATESTCD=OCENRTPT
Variable,FATESTCD=ODAE,46,1,standard_variable,FATESTCD=ODAE
Variable,FATESTCD=ODDET,46,1,standard_variable,FATESTCD=ODDET
Variable,FATESTCD=ODNAT,46,1,standard_variable,FATESTCD=ODNAT
Variable,FATESTCD=ODSTXSPM,47,1,standard_variable,FATESTCD=ODSTXSPM
Variable,FATESTCD=SLRSPC,"19,20,23",3,standard_variable,FATESTCD=SLRSPC
Variable,HYREACFL,49,1,standard_variable,QNAM=HYREACFL in SUPPAE
Variable,IETESTCD,16,1,standard_variable,IETESTCD
Variable,INC,17,1,standard_variable,DSTERM when VOLUNTARY WITHDRAWAL or OTHER or INC/EXC CRITERIA
Variable,INFECTFL,50,1,standard_variable,QNAM=INFECTFL in SUPPAE
Variable,ISCAT,58,1,standard_variable,ISCAT=AVA BLOOD COLLECTION
Variable,ISCAT=AVA BLOOD COLLECTION,58,1,standard_variable,ISCAT=AVA BLOOD COLLECTION
Variable,ISDTC,58,1,standard_variable,Time part of ISDTC | Date part of ISDTC
Variable,ISREASND,58,1,standard_variable,"ISSTAT=NOT DONE and ISREASND=THE SAMPLE WAS NOT COLLECTED when ISTESTCD=ISALL | ISSTAT=NOT DONE and ISREASND=IT IS UNKNOWN WHETHER THE SAMPLE WAS COLLECTED, OR NOT when ISTESTCD=ISALL"
Variable,ISREASND=THE SAMPLE WAS NOT COLLECTED,58,1,standard_variable,ISREASND=THE SAMPLE WAS NOT COLLECTED
Variable,ISSPEC,58,1,standard_variable,ISSPEC=SERUM
Variable,ISSPEC=SERUM,58,1,standard_variable,ISSPEC=SERUM
Variable,ISSTAT,58,1,standard_variable,"ISSTAT=NOT DONE and ISREASND=THE SAMPLE WAS NOT COLLECTED when ISTESTCD=ISALL | ISSTAT=NOT DONE and ISREASND=IT IS UNKNOWN WHETHER THE SAMPLE WAS COLLECTED, OR NOT when ISTESTCD=ISALL"
Variable,ISTESTCD,58,1,standard_variable,"ISSTAT=NOT DONE and ISREASND=THE SAMPLE WAS NOT COLLECTED when ISTESTCD=ISALL | ISSTAT=NOT DONE and ISREASND=IT IS UNKNOWN WHETHER THE SAMPLE WAS COLLECTED, OR NOT when ISTESTCD=ISALL"
Variable,ISTESTCD=ISALL,58,1,standard_variable,ISTESTCD=ISALL
Variable,LBCAT,"44,45",2,standard_variable,LBCAT | LBCAT=URINALYSIS
Variable,LBCAT=URINALYSIS,45,1,standard_variable,LBCAT=URINALYSIS
Variable,LBDTC,"44,45",2,standard_variable,LBDTC
Variable,LBORRES,45,1,standard_variable,LBORRES
Variable,LBSCAT,44,1,standard_variable,LBSCAT when LBSTAT=NOT DONE
Variable,LBSPEC,45,1,standard_variable,LBSPEC
Variable,LBSTAT,"44,45",2,standard_variable,LBSTAT=NOT DONE when LBTESTCD=LBALL | QNAM=LBSUCAT in SUPPLB when LBSTAT^=NOT DONE | LBSCAT when LBSTAT=NOT DONE | LBSTAT=NOT DONE
Variable,LBSTAT=NOT DONE,"44,45",2,standard_variable,LBSTAT=NOT DONE
Variable,LBSTRESC,45,1,standard_variable,LBSTRESC
Variable,LBSUCAT,44,1,standard_variable,QNAM=LBSUCAT in SUPPLB when LBSTAT^=NOT DONE
Variable,LBTEST,45,1,standard_variable,LBTEST
Variable,LBTESTCD,"44,45",2,standard_variable,LBSTAT=NOT DONE when LBTESTCD=LBALL | LBTESTCD=HCG
Variable,LBTESTCD=HCG,45,1,standard_variable,LBTESTCD=HCG
Variable,LBTESTCD=LBALL,44,1,standard_variable,LBTESTCD=LBALL
Variable,MALIGFL,50,1,standard_variable,QNAM=MALIGFL in SUPPAE
Variable,MHCAT,"18,21,25",3,standard_variable,MHCAT=DISEASE CHARACTERISTICS | MHCAT=GENERAL MEDICAL HISTORY
Variable,MHCAT=DISEASE CHARACTERISTICS,"18,21",2,standard_variable,MHCAT=DISEASE CHARACTERISTICS
Variable,MHCAT=GENERAL MEDICAL HISTORY,25,1,standard_variable,MHCAT=GENERAL MEDICAL HISTORY
Variable,MHENDTC,25,1,standard_variable,MHENDTC
Variable,MHENRTPT,25,1,standard_variable,MHENRTPT
Variable,MHSTDTC,"18,21,25",3,standard_variable,MHSTDTC
Variable,MHTERM,"18,21,25",3,standard_variable,MHTERM
Variable,MISSASMT,60,1,standard_variable,QNAM=MISSASMT in SUPPSV; Y when Visit with Missed Assessments
Variable,ONSET,"18,21",2,standard_variable,QNAM=MHEVDTYP and QVAL=SYMPTOM ONSET in SUPPMH
Variable,OTHDSLOC,21,1,standard_variable,QNAM=OTHDSLOC in SUPPFA
Variable,OTHER,"17,62,63",3,standard_variable,DSTERM when VOLUNTARY WITHDRAWAL or OTHER or INC/EXC CRITERIA | DSTERM when DSDECOD=VOLUNTARY WITHDRAWAL or OTHER | DSTERM when DSTERM=VOLUNTARY WITHDRAWAL or OTHER
Variable,OTHEXMN,"19,22",2,standard_variable,QNAM=OTHEXMN in SUPPFA
Variable,OTHFL,50,1,standard_variable,QNAM=OTHFL in SUPPAE
Variable,OTHLOC,18,1,standard_variable,QNAM=OTHLOC in SUPPFA
Variable,P12M,"18,21",2,standard_variable,FAEVLINT=-P12M | PREVLINT=-P12M
Variable,P1W,"19,22",2,standard_variable,FAEVLINT=-P1W
Variable,PCDTC,"56,57",2,standard_variable,Date part of PCDTC | Time part of PCDTC
Variable,PCREASND,57,1,standard_variable,PCREASND
Variable,PCSPEC,56,1,standard_variable,PCSPEC=SERUM
Variable,PCSPEC=SERUM,56,1,standard_variable,PCSPEC=SERUM
Variable,PCSTAT,57,1,standard_variable,PCSTAT=NOT DONE
Variable,PCSTAT=NOT DONE,57,1,standard_variable,PCSTAT=NOT DONE
Variable,PCTPT,56,1,standard_variable,PCTPT
Variable,PEORRES,"30,31,32,33,34",5,standard_variable,PEORRES when PETESTCD=EYES | PEORRES when PETESTCD=ENT | PEORRES when PETESTCD=CARDIO | PEORRES when PETESTCD=RESP | PEORRES when PETESTCD=GASTRO | PEORRES when PETESTCD=DERM | PEORRES when PETESTCD=MUSC | PEORRES when PETESTCD=EXTREM | PEORRES when PETESTCD=NERV | PEORRES when PETESTCD=LYMPH | PEORRES when PETESTCD=OTHER
Variable,PESTAT,"30,31,32,33,34",5,standard_variable,PESTAT=NOT DONE when Not Done
Variable,PESTAT=NOT DONE,"30,31,32,33,34",5,standard_variable,PESTAT=NOT DONE
Variable,PETESTCD,"30,31,32,33,34",5,standard_variable,PETESTCD=EYES | PEORRES when PETESTCD=EYES | PETESTCD=ENT | PEORRES when PETESTCD=ENT | PETESTCD=CARDIO | PEORRES when PETESTCD=CARDIO | PETESTCD=RESP | PEORRES when PETESTCD=RESP | PETESTCD=GASTRO | PEORRES when PETESTCD=GASTRO | PETESTCD=DERM | PEORRES when PETESTCD=DERM | PETESTCD=MUSC | PEORRES when PETESTCD=MUSC | PETESTCD=EXTREM | PEORRES when PETESTCD=EXTREM | PETESTCD=NERV | PEORRES when PETESTCD=NERV | PETESTCD=LYMPH | PEORRES when PETESTCD=LYMPH | PEORRES when PETESTCD=OTHER | PETESTCD=OTHER
Variable,PETESTCD=CARDIO,"30,31",2,standard_variable,PETESTCD=CARDIO
Variable,PETESTCD=DERM,32,1,standard_variable,PETESTCD=DERM
Variable,PETESTCD=ENT,30,1,standard_variable,PETESTCD=ENT
Variable,PETESTCD=EXTREM,33,1,standard_variable,PETESTCD=EXTREM
Variable,PETESTCD=EYES,30,1,standard_variable,PETESTCD=EYES
Variable,PETESTCD=GASTRO,"31,32",2,standard_variable,PETESTCD=GASTRO
Variable,PETESTCD=LYMPH,"33,34",2,standard_variable,PETESTCD=LYMPH
Variable,PETESTCD=MUSC,32,1,standard_variable,PETESTCD=MUSC
Variable,PETESTCD=NERV,33,1,standard_variable,PETESTCD=NERV
Variable,PETESTCD=OTHER,34,1,standard_variable,PETESTCD=OTHER
Variable,PETESTCD=RESP,31,1,standard_variable,PETESTCD=RESP
Variable,PMLFL,50,1,standard_variable,QNAM=PMLFL in SUPPAE
Variable,PRCAT,"18,21",2,standard_variable,PRCAT=DISEASE CHARACTERISTICS
Variable,PRCAT=DISEASE CHARACTERISTICS,"18,21",2,standard_variable,PRCAT=DISEASE CHARACTERISTICS
Variable,PREVLINT,"18,21",2,standard_variable,PREVLINT=-P12M
Variable,PROCCUR,"18,21",2,standard_variable,PROCCUR
Variable,PROTVRSN,14,1,standard_variable,QNAM=PROTVRSN in SUPPDM | QNAM=PROTVRSN in SUPPXM
Variable,PRPRESP,"18,21",2,standard_variable,PRPRESP=Y
Variable,PRPRESP=Y,"18,21",2,standard_variable,PRPRESP=Y
Variable,PRSTDTC,"18,21",2,standard_variable,PRSTDTC
Variable,PRTRT,"18,21",2,standard_variable,"PRTRT=COLONOSCOPY"
Variable,PRTRT=COLONOSCOPY,"18,21",2,standard_variable,PRTRT=COLONOSCOPY
